Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min
Dubbo Solar Hub Pty Ltd,Narromine Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,1-4,2.5,N,NASF1,10.0,9,0
Dubbo Solar Hub Pty Ltd,South Keswick Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,1-6,2.5,N,SKSF1,15.0,13,0
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,1-40,4.2,Y,DUNDWF1,168.0,168,34
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,41-51,4.18,Y,DUNDWF2,46.0,46,10
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,52-80,4.2,Y,DUNDWF3,121.0,122,25
Ecogen Energy Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,51,Y,JLA01,51.0,65,23
Ecogen Energy Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,51,Y,JLA02,51.0,65,23
Ecogen Energy Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,51,Y,JLA03,51.0,65,23
Ecogen Energy Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,51,Y,JLA04,51.0,65,23
Ecogen Energy Pty Ltd,"Jeeralang ""B"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,76,Y,JLB01,76.0,100,20
Ecogen Energy Pty Ltd,"Jeeralang ""B"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,76,Y,JLB02,76.0,100,20
Ecogen Energy Pty Ltd,"Jeeralang ""B"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,76,Y,JLB03,76.0,100,20
Ecogen Energy Pty Ltd,Newport Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Steam Sub-Critical,1,500,Y,NPS,500.0,510,20
EDL (OCI) Pty Limited,Glennies Creek Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,1-12,1.065,Y,GLENNCRK,12.78,12,0
EDL (OCI) Pty Limited,Oaky Creek 2,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-5,3,Y,OAKY2,15.0,15,0
EDL (OCI) Pty Limited,Oaky Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,1-14,1.037,Y,OAKYCREK,20.0,20,
EDL (OCI) Pty Limited,Oaky Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,15-16,3,Y,OAKYCREK,0.0,-,-
EDL (TT) Pty Limited,Tahmoor Waste Coal Mine Gas Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-7,1.006,N,TAHMOOR1,7.042,7,0
EDL (TT) Pty Limited,Teralba Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,"1-2,4",1,N,TERALBA,3.0,3,0
EDL CSM (QLD) Pty Ltd,German Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-16,1.979,N,GERMCRK,44.976,45,0
EDL CSM (QLD) Pty Ltd,German Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,17-20,3.328,N,GERMCRK,0.0,-,-
EDL Group Operations Pty Ltd,Berwick Power Plant,VIC1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-5,1.44,N,-,7.2,7,
EDL Group Operations Pty Ltd,Appin Power Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-54,1.03,N,APPIN,55.6,55,0
EDL Group Operations Pty Ltd,Tower Power Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-40,1.03,N,TOWER,41.2,41,0
EDL LFG (NSW) Pty Ltd,Eastern Creek LFG PS Units 1-4,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-4,1.264,N,EASTCRK,5.056,5,0
EDL LFG (NSW) Pty Ltd,Grange Avenue Landfill Gas Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,2,N,GRANGEAV,2.0,2,0
EDL LFG (NSW) Pty Ltd,Jacks Gully Landfill Gas Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-2,1.15,N,JACKSGUL,2.3,2,
EDL LFG (NSW) Pty Ltd,Lucas Heights 2 Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,12-15,1.15,N,LUCAS2S2,4.6,5,0
EDL LFG (NSW) Pty Ltd,Lucas Heights 2 Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-11,1.15,N,LUCASHGT,12.65,13,0
EDL LFG (Qld) Pty Ltd,Browns Plains Landfill Gas PS,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-2,1,N,BPLANDF1,2.0,2,1
EDL LFG (Qld) Pty Ltd,Roghan Road LFG Power Plant,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,2,N,EDLRGNRD,2.0,2,0
EDL LFG (SA) Pty Ltd,Wingfield 1 Landfill Gas Power Station,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-4,1.03,N,WINGF1_1,4.12,5,0
EDL LFG (SA) Pty Ltd,Wingfield 2 Landfill Gas Power Station,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-4,1.03,N,WINGF2_1,4.12,5,0
EDL LFG (Vic) Pty Ltd,Broadmeadows Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-5,1,N,BROADMDW,5.0,5,0
EDL LFG (Vic) Pty Ltd,Brooklyn LFG U1-3,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,1.15,N,BROOKLYN,2.83,3,0
EDL LFG (Vic) Pty Ltd,Brooklyn LFG U1-3,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,2,1.03,N,BROOKLYN,0.0,-,-
EDL LFG (Vic) Pty Ltd,Brooklyn LFG U1-3,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,3,0.65,N,BROOKLYN,0.0,-,-
EDL LFG (Vic) Pty Ltd,Clayton Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-11,1,N,CLAYTON,11.0,11,0
EDL LFG (Vic) Pty Ltd,Corio Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,1,N,CORIO1,1.0,1,0
EDL LFG (Vic) Pty Ltd,Springvale Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-4,1.05,N,SVALE1,4.2,5,0
EDL Projects (Australia) Pty Ltd,Grosvenor 1 Waste Coal Mine Gas Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-7,3.041,Y,GROSV1,21.287,21,0
EDL Projects (Australia) Pty Ltd,Grosvenor 2,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-5,3.041,Y,GROSV2,15.205,15,0
EDL Projects (Australia) Pty Ltd,Moranbah North Waste Coal Mine Gas Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-21,3.02,N,MBAHNTH,63.42,63,0
Elliott Nevertire Solar Pty Ltd as Trustee for the Elliott Nevertire Trust,Nevertire Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,1-48,2.18,N,NEVERSF1,132.0,105,0
Enel X Australia Pty Ltd ,Ballarat Base Hospital Plant,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,1-2,1,N,BBASEHOS,3.0,3,1
Enel X Australia Pty Ltd ,Ballarat Base Hospital Plant,VIC1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,3,1,N,BBASEHOS,0.0,-,-
Enel X Australia Pty Ltd ,Nine Network Willoughby Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1-3,1.06,N,NINEWIL1,3.2,2,
Enel X Australia Pty Ltd ,Tataria Bordertown Plant,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,0.5,Y,TATIARA1,0.5,1,
Enel X Australia Pty Ltd ,West Illawarra Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,0.715,Y,WESTILL1,1.0,1,
Enel X Australia Pty Ltd ,West Illawarra Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,2,0.275,N,WESTILL1,0.0,-,-
Enel X Australia Pty Ltd ,Western Suburbs League Club (Campbelltown) Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,1,N,WESTCBT1,1.0,1,
Energy Pacific (Vic) Pty Ltd,Codrington Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,1-14,1.3,N,CODRNGTON,18.2,18,0
Energy Pacific (Vic) Pty Ltd,Yambuk Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,1-20,1.5,N,YAMBUKWF,30.0,30,
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-17,1.764,Y,BALBG1,30.0,30,360
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,Load,Market,Scheduled,-,-,Storage,Battery,1-17,1.764,Y,BALBL1,30.0,30,360
EnergyAustralia Pty Ltd,Gannawarra Energy Storage System,VIC1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-50,"0,6175",Y,GANNBG1,30.875,25,200
EnergyAustralia Pty Ltd,Gannawarra Energy Storage System,VIC1,Load,Market,Scheduled,-,-,Storage,Battery,1-50,"0,6175",Y,GANNBL1,30.875,25,200
EnergyAustralia Pty Ltd,Mornington Waste Disposal Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,0.77,N,MORNW,1.0,1,
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,700,Y,MP1,700.0,700,25
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,700,Y,MP2,700.0,700,25
EnergyAustralia Pty Ltd,Tallawarra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,CCGT,1,440,Y,TALWA1,440.0,440,30
EnergyAustralia Pty Ltd,Woodlawn Bioreactor Energy Generation Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-6,1.065,N,WDLNGN01,7.0,7,
EnergyAustralia Pty Ltd,Woodlawn Bioreactor Energy Generation Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,7,1.065,N,WDLNGN01,0.0,-,
EnergyAustralia Pty Ltd,Wyndham Waste Disposal Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1,N,WYNDW,1.0,1,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),"GT 1-2,GT 1-4",14,Y,AGLHAL,217.0,255,44
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 1-3,37,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-1,15.5,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-2,22.5,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-3,25,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-4,23.4,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-1,15,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-2,15.3,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-3,15.5,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-4,15.7,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 4-1,15.1,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 4-2,14.6,Y,AGLHAL,0.0,-,-
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,360,Y,YWPS1,360.0,395,79
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,360,Y,YWPS2,360.0,395,79
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3,380,Y,YWPS3,380.0,405,81
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4,380,Y,YWPS4,380.0,405,81
Ergon Energy Queensland Pty Ltd,Barcaldine Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,CCGT,1,37,Y,BARCALDN,37.0,37,3
Ergon Energy Queensland Pty Ltd ,Lilyvale Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,1-74,1.35,Y,LILYSF1,118.0,100,20
Ergon Energy Queensland Pty Ltd ,Mount Emerald Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind, 1-37,3.45,N,MEWF1,127.65,126.05,159
Ergon Energy Queensland Pty Ltd ,Mount Emerald Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind, 38-53,3.3,N,MEWF1,52.8,52.15,159
ERM Power Retail Pty Ltd,Oakey Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,141,Y,OAKEY1,141.0,173,30
ERM Power Retail Pty Ltd,Oakey Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,141,Y,OAKEY2,141.0,173,30
Essential Energy,Broken Hill Gas Turbines,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-2,25,N,GB01,50.0,50,0
Finley Solar Farm Pty Ltd as trustee for the Finley Solar Trust,Finley Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar ,Renewable,PV,99,1.34,Y,FINLYSF1,162.36,133,27
FS NSW Project No 1 At Pty Ltd as trustee for the FS NSW Project No 1 Asset Trust,"Beryl Solar Farm, Units 1-60",NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,1-60,1.64,Y,BERYLSF1,98.0,87,88
Gannawarra Solar Farm Pty Ltd,Gannawarra Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,1-22,2.5,Y,GANNSF1,55.0,50,1000
Genex (Solar) Pty Ltd,Kidston Solar Project,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,1-20,2.385,Y,KSP1,50.0,47.7,10
Granville Harbour Operations Pty Ltd as The Trustee for Granville Harbour Operations Trust,Granville Harbour Wind Farm,TAS1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,1-31,3.55,Y,GRANWF1,110.0,111,22
Greentricity Pty Ltd,Dalrymple North Battery Energy Storage System,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-12,2.5,Y,DALNTH01,30.0,30,360
Greentricity Pty Ltd,Dalrymple North Battery Energy Storage System,SA1,Load,Market,Scheduled,-,-,Storage,Battery,1-12,2.5,Y,DALNTHL1,30.0,30,360
Griffith Solar Farm Pty Ltd,Griffith Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,1-12,2.27,Y,GRIFSF1,27.2,27,1
GSP Energy Pty Ltd,Burrinjuck Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,3-4,5.7,N,BURRIN,27.0,28,
GSP Energy Pty Ltd,Burrinjuck Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,5,15.4,N,BURRIN,0.0,-,-
GSP Energy Pty Ltd,Hume (NSW) Hydro Power Station,NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-2,29,Y,HUMENSW,29.0,70,10
GSP Energy Pty Ltd,Hume (Vic) Hydro Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-2,29,Y,HUMEV,29.0,70,10
GSP Energy Pty Ltd,Keepit Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,6,N,KEEPIT,6.0,8,
Gunning Wind Energy Developments Pty Ltd,Gunning Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,1-31,1.5,N,GUNNING1,46.5,47,47
Hamilton Solar Farm Pty Ltd,Hamilton Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,,2.5,Y,HAMISF1,57.5,56,20
Hayman Solar Farm Pty Ltd ATF the Hayman Solar Farm Trust ,Hayman Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,1-21,2.75,Y,HAYMSF1,57.75,50,165
Hornsdale Power Reserve Pty Ltd,Hornsdale Power Reserve,SA1,Generator,Market,Scheduled,Battery storage,Wind,Storage,Battery,1-197,0.52,N,HPRG1,100.0,100,200
Hornsdale Power Reserve Pty Ltd,Hornsdale Power Reserve,SA1,Load,Market,Scheduled,-,-,Storage,Battery,1-197,0.406,N,HPRL1,79.982,80,200
Hughenden Solar Pty Limited As Trustee For Hughenden Solar Trust,Hughenden Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,1-18,1.165,Y,HUGSF1,20.97,18,60
HWF1 Pty Ltd,Hornsdale Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,1-32,3.2,Y,HDWF1,102.4,102,50
HWF2 Pty Ltd,Hornsdale Wind Farm 2,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,1-32,3.2,Y,HDWF2,102.4,102,50
HWF3 Pty Ltd,Hornsdale Wind Farm 3,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,1-35,3.2,Y,HDWF3,112.0,109,50
Hydro Power Pty Limited,Brown Mountain Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,0.5,Y,BROWNMT,5.0,6,0
Hydro Power Pty Limited,Brown Mountain Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2-3,0.75,Y,BROWNMT,0.0,-,-
Hydro Power Pty Limited,Brown Mountain Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,4-5,1,Y,BROWNMT,0.0,-,-
Hydro Power Pty Limited,Brown Mountain Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,6,4.2,Y,BROWNMT,0.0,-,-
Hydro Power Pty Limited,Wyangala A Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,20,N,WYANGALA,20.0,20,
Hydro Power Pty Limited,Wyangala B Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,4,N,WYANGALB,4.0,4,
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,35,Y,BBTHREE1,35.0,49,10
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,35,Y,BBTHREE2,35.0,49,10
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,35,Y,BBTHREE3,35.0,49,10
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,58,Y,TVPP104,58.0,58,10
Hydro-Electric Corporation,Tamar Valley Combined Cycle Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,CCGT,1,140.6,Y,TVCC201,208.6,208,9
Hydro-Electric Corporation,Tamar Valley Combined Cycle Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,CCGT,2,68,Y,TVCC201,0.0,-,-
Hydro-Electric Corporation,Bastyan Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,79.9,Y,BASTYAN,79.9,88,40
Hydro-Electric Corporation,Butlers Gorge Power Station,TAS1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,14.4,N,BUTLERSG,14.4,15,
Hydro-Electric Corporation,Catagunya / Liapootah / Wayatinah Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,C 1-2,24,Y,LI_WY_CA,173.7,190,110
Hydro-Electric Corporation,Catagunya / Liapootah / Wayatinah Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,L 1,27.9,Y,LI_WY_CA,0.0,-,-
Hydro-Electric Corporation,Catagunya / Liapootah / Wayatinah Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,L 2,27.9,Y,LI_WY_CA,0.0,-,-
Hydro-Electric Corporation,Catagunya / Liapootah / Wayatinah Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,L 3,31.5,Y,LI_WY_CA,0.0,-,-
Hydro-Electric Corporation,Catagunya / Liapootah / Wayatinah Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,W 1-3,12.8,Y,LI_WY_CA,0.0,-,-
Hydro-Electric Corporation,Cethana Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,85,Y,CETHANA,85.0,100,40
Hydro-Electric Corporation,Cluny Power Station,TAS1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,19,N,CLUNY,19.0,22,
