Participant,Station Name,Region,DUID,Bid Type,Max Cap (MW),Min Enablement Level,Max Enablement Level,Max Lower Angle,Max Upper Angle
Alinta Energy Retail Sales Pty Ltd,Loy Yang B Power Station,VIC1,LOYYB2,Raise6sec,60.0,320.0,550.0,90.0,45.0
Alinta Energy Retail Sales Pty Ltd,Loy Yang B Power Station,VIC1,LOYYB2,Raisereg,75.0,320.0,550.0,90.0,45.0
Amalgamated Energy Services Pty Ltd,AS AES NSW,NSW1,ASNAES1,Lower5min,1.0,0.0,0.0,90.0,90.0
Amalgamated Energy Services Pty Ltd,AS AES NSW,NSW1,ASNAES1,Lower60sec,2.0,0.0,0.0,90.0,90.0
Amalgamated Energy Services Pty Ltd,AS AES NSW,NSW1,ASNAES1,Lower6sec,1.0,0.0,0.0,90.0,90.0
Amalgamated Energy Services Pty Ltd,AS AES NSW,NSW1,ASNAES1,Rasie5min,1.0,0.0,0.0,90.0,90.0
Amalgamated Energy Services Pty Ltd,AS AES NSW,NSW1,ASNAES1,Raise60sec,1.0,0.0,0.0,90.0,90.0
Amalgamated Energy Services Pty Ltd,AS AES NSW,NSW1,ASNAES1,Raise6sec,1.0,0.0,0.0,90.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR1,Lower5min,71.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR1,Lower60sec,71.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR1,Lower6sec,36.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR1,Lowerreg,71.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR1,Raise5min,71.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR1,Raise60sec,71.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR1,Raise6sec,36.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR1,Raisereg,71.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR2,Lower5min,71.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR2,Lower60sec,71.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR2,Lower6sec,36.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR2,Lowerreg,71.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR2,Raise5min,71.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR2,Raise60sec,71.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR2,Raise6sec,36.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR2,Raisereg,71.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR3,Lower5min,71.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR3,Lower60sec,71.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR3,Lower6sec,36.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR3,Lowerreg,71.0,97.0,168.0,45.0,90.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR3,Raise5min,71.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR3,Raise60sec,71.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR3,Raise6sec,36.0,97.0,168.0,90.0,45.0
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,BRAEMAR3,Raisereg,71.0,97.0,168.0,90.0,45.0
CleanCo Queensland Ltd,Swanbank B Power Station & Swanbank E Gas Turbine,QLD1,SWAN_E,Lower60sec,50.0,150.0,385.0,90.0,90.0
CleanCo Queensland Ltd,Swanbank B Power Station & Swanbank E Gas Turbine,QLD1,SWAN_E,Lowerreg,57.0,145.0,385.0,45.0,90.0
CleanCo Queensland Ltd,Swanbank B Power Station & Swanbank E Gas Turbine,QLD1,SWAN_E,Raise60sec,50.0,150.0,385.0,90.0,30.0
CleanCo Queensland Ltd,Swanbank B Power Station & Swanbank E Gas Turbine,QLD1,SWAN_E,Raisereg,57.0,145.0,385.0,90.0,45.0
CleanCo Queensland Ltd,Wivenhoe Power Station,QLD1,PUMP1,Raise5min,245.0,0.0,245.0,45.0,90.0
CleanCo Queensland Ltd,Wivenhoe Power Station,QLD1,PUMP1,Raise60sec,245.0,0.0,245.0,45.0,90.0
CleanCo Queensland Ltd,Wivenhoe Power Station,QLD1,PUMP1,Raise6sec,245.0,0.0,245.0,45.0,90.0
CleanCo Queensland Ltd,Wivenhoe Power Station,QLD1,PUMP2,Raise5min,245.0,0.0,245.0,45.0,90.0
CleanCo Queensland Ltd,Wivenhoe Power Station,QLD1,PUMP2,Raise60sec,245.0,0.0,245.0,45.0,90.0
CleanCo Queensland Ltd,Wivenhoe Power Station,QLD1,PUMP2,Raise6sec,245.0,0.0,245.0,45.0,90.0
CleanCo Queensland Ltd,Wivenhoe Power Station,QLD1,W/HOE#1,Raise5min,285.0,0.0,285.0,90.0,45.0
CleanCo Queensland Ltd,Wivenhoe Power Station,QLD1,W/HOE#1,Raise60sec,285.0,0.0,285.0,90.0,45.0
CleanCo Queensland Ltd,Wivenhoe Power Station,QLD1,W/HOE#2,Raise5min,285.0,0.0,285.0,90.0,45.0
CleanCo Queensland Ltd,Wivenhoe Power Station,QLD1,W/HOE#2,Raise60sec,285.0,0.0,285.0,90.0,45.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_1,Lower5min,35.0,140.0,350.0,45.0,90.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_1,Lower60sec,60.0,165.0,360.0,45.0,90.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_1,Lower6sec,50.0,165.0,360.0,45.0,90.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_1,Lowerreg,15.0,165.0,360.0,45.0,90.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_1,Raise5min,15.0,165.0,360.0,90.0,45.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_1,Raise60sec,35.0,165.0,360.0,90.0,21.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_1,Raise6sec,23.0,165.0,360.0,90.0,21.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_1,Raisereg,15.0,165.0,360.0,90.0,45.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_2,Lower5min,35.0,140.0,350.0,45.0,90.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_2,Lower60sec,60.0,165.0,360.0,45.0,90.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_2,Lower6sec,50.0,165.0,360.0,45.0,90.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_2,Lowerreg,15.0,165.0,360.0,45.0,90.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_2,Raise5min,15.0,165.0,360.0,90.0,45.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_2,Raise60sec,35.0,165.0,360.0,90.0,21.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_2,Raise6sec,23.0,165.0,360.0,90.0,21.0
CS Energy Limited,Callide Power Station,QLD1,CALL_B_2,Raisereg,15.0,165.0,360.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE1,Lower5min,25.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE1,Lower60sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE1,Lower6sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE1,Lowerreg,75.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE1,Raise5min,25.0,105.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE1,Raise60sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE1,Raise6sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE1,Raisereg,75.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE2,Lower5min,25.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE2,Lower60sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE2,Lower6sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE2,Lowerreg,75.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE2,Raise5min,25.0,105.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE2,Raise60sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE2,Raise6sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE2,Raisereg,75.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE3,Lower5min,25.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE3,Lower60sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE3,Lower6sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE3,Lowerreg,75.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE3,Raise5min,25.0,105.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE3,Raise60sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE3,Raise6sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE3,Raisereg,75.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE4,Lower5min,25.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE4,Lower60sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE4,Lower6sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE4,Lowerreg,75.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE4,Raise5min,25.0,105.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE4,Raise60sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE4,Raise6sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE4,Raisereg,75.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE5,Lower5min,25.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE5,Lower60sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE5,Lower6sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE5,Lowerreg,75.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE5,Raise5min,25.0,105.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE5,Raise60sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE5,Raise6sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE5,Raisereg,75.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE6,Lower5min,25.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE6,Lower60sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE6,Lower6sec,20.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE6,Lowerreg,75.0,110.0,285.0,45.0,90.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE6,Raise5min,25.0,105.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE6,Raise60sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE6,Raise6sec,30.0,110.0,285.0,90.0,45.0
CS Energy Limited,Gladstone Power Station,QLD1,GSTONE6,Raisereg,75.0,110.0,285.0,90.0,45.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP5,Lower5min,40.0,280.0,665.0,45.0,90.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP5,Lower60sec,100.0,245.0,665.0,45.0,90.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP5,Lower6sec,60.0,245.0,665.0,45.0,90.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP5,Lowerreg,50.0,250.0,660.0,45.0,90.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP5,Raise5min,20.0,245.0,660.0,90.0,45.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP5,Raise60sec,33.0,245.0,660.0,90.0,45.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP5,Raise6sec,33.0,245.0,660.0,90.0,45.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP5,Raisereg,50.0,250.0,660.0,90.0,45.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP6,Lower5min,40.0,280.0,665.0,45.0,90.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP6,Lower60sec,100.0,245.0,665.0,45.0,90.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP6,Lower6sec,60.0,245.0,665.0,45.0,90.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP6,Lowerreg,50.0,250.0,660.0,45.0,90.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP6,Raise5min,20.0,245.0,660.0,90.0,45.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP6,Raise60sec,33.0,245.0,660.0,90.0,45.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP6,Raise6sec,33.0,245.0,660.0,90.0,45.0
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,VP6,Raisereg,50.0,250.0,660.0,90.0,45.0
Ecogen Energy Pty Ltd,Newport Power Station,VIC1,NPS,Lower60sec,120.0,80.0,510.0,45.0,45.0
Ecogen Energy Pty Ltd,Newport Power Station,VIC1,NPS,Lower6sec,80.0,99.0,510.0,45.0,45.0
Ecogen Energy Pty Ltd,Newport Power Station,VIC1,NPS,Lowerreg,50.0,99.0,510.0,45.0,45.0
Ecogen Energy Pty Ltd,Newport Power Station,VIC1,NPS,Raise60sec,120.0,99.0,510.0,45.0,45.0
Ecogen Energy Pty Ltd,Newport Power Station,VIC1,NPS,Raisereg,50.0,99.0,510.0,45.0,45.0
Ecogen Energy Pty Ltd,Newport Power Station,VIC1,NPS,Raise6sec,80.0,99.0,510.0,45.0,45.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,BALBG1,Lowerreg,30.0,0.0,30.0,45.0,90.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,BALBG1,Raise5min,30.0,0.0,30.0,90.0,45.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,BALBG1,Raise60sec,30.0,0.0,30.0,90.0,45.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,BALBG1,Raise6sec,30.0,0.0,30.0,90.0,45.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,BALBG1,Raisereg,30.0,0.0,30.0,90.0,45.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,BALBL1,Lowerreg,30.0,0.0,30.0,90.0,45.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,BALBL1,Lower5min,30.0,0.0,30.0,90.0,45.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,BALBL1,Lower60sec,30.0,0.0,30.0,90.0,45.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,BALBL1,Lower6sec,30.0,0.0,30.0,90.0,45.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,BALBL1,Raisereg,30.0,0.0,30.0,45.0,90.0
EnergyAustralia Pty Ltd,Gannawarra Battery Energy Storage System,VIC1,GANNBG1,Lowerreg,25.0,0.0,25.0,45.0,90.0
EnergyAustralia Pty Ltd,Gannawarra Battery Energy Storage System,VIC1,GANNBG1,Raisereg,25.0,0.0,25.0,90.0,45.0
EnergyAustralia Pty Ltd,Gannawarra Battery Energy Storage System,VIC1,GANNBL1,Lowerreg,25.0,0.0,25.0,90.0,45.0
EnergyAustralia Pty Ltd,Gannawarra Battery Energy Storage System,VIC1,GANNBL1,Raisereg,25.0,0.0,25.0,45.0,90.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP1,Lower5min,100.0,300.0,700.0,45.0,90.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP1,Lower60sec,100.0,215.0,700.0,45.0,90.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP1,Lower6sec,70.0,215.0,700.0,45.0,90.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP1,Lowerreg,60.0,220.0,700.0,36.0,90.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP1,Raise5min,70.0,215.0,700.0,45.0,45.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP1,Raise60sec,66.0,215.0,700.0,45.0,45.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP1,Raise6sec,66.0,215.0,700.0,90.0,45.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP1,Raisereg,60.0,220.0,700.0,45.0,45.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP2,Lower5min,100.0,300.0,700.0,45.0,90.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP2,Lower60sec,100.0,215.0,700.0,45.0,90.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP2,Lower6sec,70.0,215.0,700.0,45.0,90.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP2,Lowerreg,60.0,220.0,700.0,36.0,90.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP2,Raise5min,70.0,215.0,700.0,45.0,45.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP2,Raise60sec,66.0,215.0,700.0,45.0,45.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP2,Raise6sec,66.0,215.0,700.0,90.0,45.0
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,MP2,Raisereg,60.0,220.0,700.0,45.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS1,Lower5min,15.0,250.0,375.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS1,Lower60sec,20.0,220.0,380.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS1,Lower6sec,20.0,220.0,380.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS1,Lowerreg,15.0,250.0,365.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS1,Raise5min,15.0,250.0,375.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS1,Raise60sec,20.0,220.0,380.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS1,Raise6sec,20.0,220.0,380.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS1,Raisereg,15.0,250.0,365.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS2,Lower5min,15.0,250.0,375.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS2,Lower60sec,20.0,220.0,380.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS2,Lower6sec,20.0,220.0,380.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS2,Lowerreg,15.0,250.0,365.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS2,Raise5min,15.0,250.0,375.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS2,Raise60sec,20.0,220.0,380.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS2,Raise6sec,20.0,220.0,380.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS2,Raisereg,15.0,250.0,365.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS3,Lower5min,20.0,250.0,390.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS3,Lower60sec,20.0,220.0,400.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS3,Lower6sec,25.0,220.0,405.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS3,Lowerreg,20.0,250.0,385.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS3,Raise5min,20.0,250.0,390.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS3,Raise60sec,20.0,220.0,400.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS3,Raise6sec,25.0,220.0,405.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS3,Raisereg,20.0,250.0,385.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS4,Lower5min,20.0,250.0,390.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS4,Lower60sec,20.0,220.0,400.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS4,Lower6sec,25.0,220.0,405.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS4,Lowerreg,20.0,250.0,385.0,45.0,90.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS4,Raise5min,20.0,250.0,390.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS4,Raise60sec,20.0,220.0,400.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS4,Raise6sec,25.0,220.0,405.0,90.0,45.0
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,YWPS4,Raisereg,20.0,250.0,385.0,90.0,45.0
Energy Locals Pty Ltd,Energy Locals SA VPP,SA1,ASSEL1,Lower60sec,0.0,0.0,0.0,90.0,90.0
Energy Locals Pty Ltd,Energy Locals SA VPP,SA1,ASSEL1,Raise60sec,0.0,0.0,0.0,90.0,90.0
Energy Locals Pty Ltd,Energy Locals SA VPP,SA1,ASSEL1,Lower5min,0.0,0.0,0.0,90.0,90.0
Energy Locals Pty Ltd,Energy Locals SA VPP,SA1,ASSEL1,Rasie5min,0.0,0.0,0.0,90.0,90.0
Energy Locals Pty Ltd,VPP Energy Locals SA 1,SA1,VSSEL1V1,Lower6sec,2.0,0.0,0.0,90.0,90.0
Energy Locals Pty Ltd,VPP Energy Locals SA 1,SA1,VSSEL1V1,Raise6sec,2.0,0.0,0.0,90.0,90.0
Energy Locals Pty Ltd,VPP Energy Locals SA 1,SA1,VSSEL1V1,Lower60sec,2.0,0.0,0.0,90.0,90.0
Energy Locals Pty Ltd,VPP Energy Locals SA 1,SA1,VSSEL1V1,Raise60sec,2.0,0.0,0.0,90.0,90.0
Energy Locals Pty Ltd,VPP Energy Locals SA 1,SA1,VSSEL1V1,Lower5min,2.0,0.0,0.0,90.0,90.0
Energy Locals Pty Ltd,VPP Energy Locals SA 1,SA1,VSSEL1V1,Rasie5min,2.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP QLD,QLD1,ASQENC1,Raise5min,18.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP QLD,QLD1,ASQENC1,Raise60sec,37.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP QLD,QLD1,ASQENC1,Raise6sec,25.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP NSW,NSW1,ASNENC1,Raise5min,122.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP NSW,NSW1,ASNENC1,Raise60sec,177.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP NSW,NSW1,ASNENC1,Raise6sec,88.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP VIC,VIC1,VENUS1,Raise5min,39.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP VIC,VIC1,VENUS1,Raise60sec,60.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP VIC,VIC1,VENUS1,Raise6sec,42.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP SA,SA1,ASSENC1,Raise5min,6.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP SA,SA1,ASSENC1,Raise60sec,10.0,0.0,0.0,90.0,90.0
Enel X Australia Pty Ltd ,ENOC MASP SA,SA1,ASSENC1,Raise6sec,7.0,0.0,0.0,90.0,90.0
ERM Power Retail Pty Ltd ,Oakey Power Station,QLD1,OAKEY1,Raise5min,25.0,40.0,173.0,90.0,45.0
ERM Power Retail Pty Ltd ,Oakey Power Station,QLD1,OAKEY1,Raise60sec,25.0,40.0,173.0,90.0,45.0
