Region,Participant,Station Name,Technology Type - Descriptor,Reg Cap (MW)
VIC1,Enel X Australia Pty Ltd ,Ballarat Base Hospital Plant,Compression Reciprocating Engine,3.0
VIC1,Energy Pacific (Vic) Pty Ltd,Codrington Wind Farm,Wind - Onshore,18.2
VIC1,Energy Pacific (Vic) Pty Ltd,Yambuk Wind Farm,Wind - Onshore,30.0
VIC1,EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,Battery,60.0
VIC1,EnergyAustralia Pty Ltd,Gannawarra Energy Storage System,Battery,61.75
VIC1,EnergyAustralia Pty Ltd,Mornington Waste Disposal Facility,Compression Reciprocating Engine,1.0
VIC1,EnergyAustralia Pty Ltd,Wyndham Waste Disposal Facility,Compression Reciprocating Engine,1.0
VIC1,EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,Steam Sub-Critical,1480.0
VIC1,GSP Energy Pty Ltd,Hume (Vic) Hydro Power Station,Hydro - Gravity,29.0
VIC1,Gannawarra Solar Farm Pty Ltd,Gannawarra Solar Farm,Photovoltaic Tracking Flat panel,55.0
VIC1,Iraak Sun Farm Pty Ltd,Karadoc Solar Farm,Photovoltaic Flat panel,104.0
VIC1,Kiata Wind Farm Pty Ltd,Kiata Wind Farm,Wind - Onshore,31.05
VIC1,LMS Energy Pty Ltd,Hallam Road Renewable Energy Facility,Spark Ignition Reciprocating Engine,8.984
VIC1,LMS Energy Pty Ltd,Wollert Renewable Energy Facility,Spark Ignition Reciprocating Engine,7.0
VIC1,Lal Lal Wind Farms Nom Co Pty Ltd,Yendon Wind Farm,Wind - Onshore,144.4
VIC1,Landfill Operations Pty Ltd,Melbourne Regional Landfill,Spark Ignition Reciprocating Engine,8.88
VIC1,Mortons Lane Windfarm Pty Limited,Mortons Lane Wind Farm,Wind - Onshore,19.5
VIC1,Mt Gellibrand Wind Farm Pty Ltd,Mt Gellibrand Wind Farm,Wind - Onshore,137.984
VIC1,Mt Mercer Windfarm Pty Ltd,Hepburn Community Wind Farm,Wind - Onshore,4.1
VIC1,Mt Mercer Windfarm Pty Ltd,Mt Mercer Wind Farm,Wind - Onshore,131.2
VIC1,NovaPower Pty Ltd,Traralgon Network Support Station,Spark Ignition Reciprocating Engine,10.0
VIC1,Numurkah Solar Farm Pty Ltd,Numurkah Solar Farm,Photovoltaic Tracking Flat panel,112.0
VIC1,Origin Energy Electricity Limited,Mortlake Power Station,Open Cycle Gas turbines (OCGT),566.0
VIC1,Pacific Hydro Challicum Hills Pty Ltd,Challicum Hills Wind Farm,Wind - Onshore,52.5
VIC1,Pacific Hydro Crowlands Pty Ltd ,Crowlands Wind Farm,Wind - Onshore,79.95
VIC1,Pacific Hydro Investments Pty Ltd,Eildon Power Station,Run of River,4.5
VIC1,Pacific Hydro Investments Pty Ltd,Glenmaggie Hydro Power Station,Run of River,3.8
VIC1,Pacific Hydro Investments Pty Ltd,William Hovell Power Station,Run of River,1.5
VIC1,Pacific Hydro Portland Wind Farm Pty Ltd,Portland Wind Farm,Wind - Onshore,148.0
VIC1,Pacific Hydro Yaloak South Pty Ltd,Yaloak South Wind Farm,Wind - Onshore,28.7
VIC1,Progressive Green Pty Ltd,South East Water - Halllam Hydro Plant,Hydro - Gravity,0.25
VIC1,Progressive Green Pty Ltd,Wonthaggi Wind Farm,Wind - Onshore,12.0
VIC1,Pyrenees Wind Energy Development Pty Ltd,Waubra Wind Farm,Wind - Onshore,192.0
VIC1,Salt Creek Wind Farm Pty Ltd,Salt Creek Wind Farm,Wind - Onshore,54.0
VIC1,Snowy Hydro Limited,Laverton North Power Station,Open Cycle Gas turbines (OCGT),312.0
VIC1,Snowy Hydro Limited,Murray Power Station,Hydro - Gravity,1500.0
VIC1,Snowy Hydro Limited,Valley Power Peaking Facility,Open Cycle Gas turbines (OCGT),300.0
VIC1,Telstra Energy (Generation) Pty Ltd,Murra Warra Wind Farm,Wind - Onshore,231.8
VIC1,Toora Wind Farm Pty Ltd,Toora Wind Farm,Wind - Onshore,21.0
VIC1,Wemen Asset Co Pty Ltd ATF Wemen Solar Unit Trust ,"Wemen Solar Farm, Units 1-39 ",Photovoltaic Tracking Flat Panel,97.5
